# idx        tau          q0           omn          omt          Tref         nref         gamma        omega       
64             1.44000000   5.44347990  88.00000000 186.00000000   0.39703891   4.04314127 134.46200000 -350.52600000
65             1.44000000   4.53623330  98.16136500 186.00000000   0.39703891   4.49237919 151.13500000 -300.68500000
66             1.44000000   4.53623330  70.40000000 223.20000000   0.39703891   4.49237919  82.36600000 -639.71600000
67             1.44000000   4.53623330  70.40000000 186.00000000   0.43674280   4.49237919 119.95800000 -470.98100000
68             1.44000000   4.53623330  70.40000000 186.00000000   0.39703891   4.94161711 123.46500000 -481.89200000
69             1.44000000   4.53623330 105.60000000 148.80000000   0.39703891   4.49237919 113.87800000 -115.74300000
70             1.44000000   4.53623330 105.60000000 223.20000000   0.43674280   4.49237919 129.76000000 -424.55100000
71             1.44000000   4.53623330 105.60000000 223.20000000   0.39703891   4.94161711 134.60300000 -433.23300000
72             1.44000000   4.53623330 105.60000000 186.00000000   0.35733502   4.49237919 163.50400000 -252.52000000
73             1.44000000   4.53623330 105.60000000 186.00000000   0.43674280   4.94161711 126.64000000 -285.53900000
74             1.44000000   4.53623330 105.60000000 186.00000000   0.39703891   4.04314127 157.50000000 -247.46200000
75             1.44000000   4.53623330  88.00000000 207.47743000   0.39703891   4.49237919 139.63400000 -449.27700000
76             1.44000000   4.53623330  88.00000000 148.80000000   0.43674280   4.49237919 129.60800000 -207.48100000
77             1.44000000   4.53623330  88.00000000 148.80000000   0.39703891   4.94161711 134.19800000 -210.84800000
78             1.44000000   4.53623330  88.00000000 223.20000000   0.35733502   4.49237919 144.27100000 -510.03200000
79             1.44000000   4.53623330  88.00000000 223.20000000   0.43674280   4.94161711  92.02500000 -547.94500000
80             1.44000000   4.53623330  88.00000000 223.20000000   0.39703891   4.04314127 140.02400000 -496.42700000
81             1.44000000   4.53623330  88.00000000 186.00000000   0.41996196   4.49237919 141.61800000 -361.48700000
82             1.44000000   4.53623330  88.00000000 186.00000000   0.35733502   4.94161711 156.94400000 -364.31500000
83             1.44000000   4.53623330  88.00000000 186.00000000   0.43674280   4.04314127 146.36600000 -348.27200000
84             1.44000000   4.53623330  88.00000000 186.00000000   0.39703891   4.75174682 144.49300000 -365.93800000
