# idx        omn         omt_i      temp_i         omt_e         Tref         nref        gamma        omega
  77   3.84413588   1.09357907   1.29632330   3.02618912   3.02266400  28.18855791   0.21168625   0.85118638
  78   1.43319444   4.44979755   0.52860444   4.97072146   2.16660123  11.34924615   0.11579604  -0.01909741
  79   1.47217958   1.76614095   1.22795956   3.60217613   4.93701338  19.59967169   0.15386356   0.72686303
  80   4.72440956   3.38845770   1.30290166   1.17745792   3.85287732  26.64639060   0.28627555   1.16456666
  81   3.88911394   1.25914216   0.60641853   4.20846400   3.87410259  24.28929302   0.49946909   0.39508563
  82   4.29118412   2.71938415   0.51166535   1.20073192   2.20562560  25.19024563  -0.00315267   0.01408080
  83   2.02258604   3.22099939   0.64734980   2.79193779   4.31516980  19.98693016   0.07810870   0.06628215
  84   3.28897472   3.33563403   1.48083643   4.46800152   3.11310744  31.42769299   0.61603980   1.26847082
  85   2.68210544   1.87459105   0.79916863   4.07072219   3.81532051  24.59474283   0.32653024   0.50653673
  86   4.36913047   3.13468152   1.18370333   2.90925257   3.35951984  39.82949701   0.89427133   1.14086738
  87   4.48404855   4.57193373   1.30812924   3.64539453   2.65928891  12.67296695   0.07581575   0.01876506
  88   4.60632550   4.54216653   1.05230617   4.26291021   4.47764664  17.35081523   0.34176176   1.07789101
  89   2.60836267   4.74891125   1.07758089   4.51785381   3.37551595  11.51254497   0.14327118   0.06746487
  90   1.50332785   2.36920410   1.45136115   4.66467172   4.63017895  10.64858806   0.08778733   0.08506162
  91   2.53181895   2.98110305   1.32810531   1.11632122   3.99006971  37.44349035   0.47127408   1.01404091
  92   4.97337221   2.41591277   1.12409374   1.46860597   4.29791801  19.48786774   0.08855250   0.83231567
  93   3.21350784   1.70205396   1.35317910   3.95837398   4.97451662  10.55991887   0.05044940   0.00097950
  94   4.28141257   2.46635503   0.52416870   4.80090155   4.25965235  24.81562931   0.76287555   0.43387398
  95   4.55313483   2.55136945   1.29947636   3.60209239   4.99173060  30.67121894   1.14047566   1.18886996
  96   3.50737939   1.80367679   1.47094027   3.63167268   3.98065707  16.91185872  -0.00633617   0.01819818
  97   3.02846003   1.66710449   0.63628333   1.54239594   4.75330295  36.02209771   0.52164407   0.40137818
  98   3.58871460   3.58205217   0.99327822   3.15941330   2.57857253  31.23887907  -0.00488975  -0.00533952
  99   4.68301687   1.08752100   0.98898392   3.67483258   3.48227526  15.60210021   0.04576219  -0.00694312
 100   4.84418044   4.73489751   1.41034920   4.55211067   2.93936376  31.98621421   0.58770300   1.54923123
 101   2.25427963   1.12913939   1.14599278   2.14730415   4.37511417  12.36520171   0.04183377  -0.08706172
 102   1.30063119   4.02895450   1.07750799   1.84111597   4.38837401  23.67273173   0.12742812   0.89807049
 103   1.90556336   1.33246781   0.51835865   1.68345172   2.06575874  36.80348285  -0.00485364   0.00427261
 104   1.86653160   2.23656490   0.67520402   3.63482632   3.99942586  32.38637895   0.43876655   0.39000850
 105   3.50332927   1.46259480   0.56699067   2.92990307   3.09371741  37.96516288   0.47180702   0.36138146
 106   3.55896046   4.76919925   1.14109229   4.73300196   4.35271905  17.78719842   0.27867574   1.07428133
 107   3.72516536   4.95352711   1.15350574   1.93540895   3.36372634  34.36126011   0.44462861   1.18261357
 108   1.65957142   4.40519667   1.25571003   4.88049315   4.04060625  29.46464364   0.72969955   1.02904676
 109   1.45112012   4.55044820   0.51672934   1.87020863   4.76271185  35.92130873   0.33837058   0.43131391
 110   4.24046566   1.59236570   0.78387237   2.59933532   2.59877813  21.97802165   0.05626585  -0.05605994
 111   1.06983320   3.93207817   1.44792989   2.65960135   4.79162375  28.90850495   0.48876313   1.06308633
 112   4.04023603   3.92401947   0.71666834   4.26897172   2.12971533  15.99482365   0.06644011  -0.12106398
 113   4.04082185   3.34618086   1.25465488   2.32247634   2.96029311  14.76771874   0.05015471   0.00370465
 114   4.38205679   4.23991984   0.50676324   3.55657718   4.81913438  18.23743104   0.41675003   0.52627247
